GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US040130405062,040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",1258,542,0,0,1,1,0,0,0,1,2,2,1,2,8,14,28,16,34,25,61,87,85,86,88,716,0,1,0,0,0,0,0,0,1,4,1,1,6,17,37,11,61,27,77,117,108,116,131
1500000US040130405063,040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",989,440,2,0,2,0,0,0,0,0,1,3,1,6,10,6,22,10,32,21,39,61,89,63,72,549,0,0,0,0,1,0,1,0,0,2,5,0,2,8,32,21,40,27,62,98,95,90,65
1500000US040130405064,040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",1228,521,0,0,0,0,0,0,0,0,0,1,3,10,8,7,23,16,32,30,49,76,104,85,77,707,0,0,0,0,0,0,0,1,1,0,2,2,4,10,23,39,53,35,59,119,110,117,132
1500000US040130405071,040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",1410,582,0,0,0,0,0,0,0,0,0,1,2,2,5,4,11,7,26,17,44,79,103,147,134,828,0,0,0,0,1,0,0,0,0,0,0,1,3,5,25,22,32,27,54,111,140,192,215
1500000US040130405072,040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",2326,945,0,0,0,1,1,0,0,0,0,2,2,7,8,10,26,21,49,28,63,111,149,213,254,1381,0,0,0,0,0,0,1,0,0,3,1,5,7,15,45,37,61,61,87,160,222,278,398
1500000US040130405073,040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",751,308,1,0,0,0,0,0,0,0,1,1,1,4,0,7,9,10,26,23,27,43,63,45,47,443,0,0,0,0,1,0,0,0,0,0,1,2,3,9,21,23,33,26,44,68,64,70,78
1500000US040130405074,040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",787,346,0,0,0,0,0,0,1,0,1,2,2,5,3,10,8,10,25,24,36,54,60,54,51,441,0,1,0,0,2,0,0,1,0,2,1,1,2,5,23,17,47,33,45,72,66,51,72
1500000US040130405075,040130405075,"Block Group 5, Census Tract 405.07, Maricopa County, Arizona",823,341,0,0,0,0,0,0,0,0,0,1,1,1,4,4,11,7,12,16,28,60,71,61,64,482,0,0,0,0,0,0,0,0,0,1,1,0,4,5,17,10,25,18,42,78,90,91,100
1500000US040130405121,040130405121,"Block Group 1, Census Tract 405.12, Maricopa County, Arizona",1690,761,0,0,0,0,0,0,0,0,1,0,3,1,5,13,14,13,26,25,57,149,203,168,83,929,0,0,1,0,0,0,1,0,0,1,0,1,4,12,38,31,47,54,100,190,203,156,90
1500000US040130405131,040130405131,"Block Group 1, Census Tract 405.13, Maricopa County, Arizona",1365,611,0,0,0,1,1,0,0,1,2,0,1,3,2,7,11,11,36,19,54,91,131,139,101,754,0,0,0,0,1,0,0,0,1,0,0,3,3,7,21,28,40,41,60,132,166,160,91
