GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1500000US040130405252,040130405252,"Block Group 2, Census Tract 405.25, Maricopa County, Arizona",333100,58741
1500000US040130405253,040130405253,"Block Group 3, Census Tract 405.25, Maricopa County, Arizona",279000,8799
1500000US040130405254,040130405254,"Block Group 4, Census Tract 405.25, Maricopa County, Arizona",269700,37277
1500000US040130405255,040130405255,"Block Group 5, Census Tract 405.25, Maricopa County, Arizona",382000,59357
1500000US040130405256,040130405256,"Block Group 6, Census Tract 405.25, Maricopa County, Arizona",308600,35778
1500000US040130405261,040130405261,"Block Group 1, Census Tract 405.26, Maricopa County, Arizona",197000,23456
1500000US040130405262,040130405262,"Block Group 2, Census Tract 405.26, Maricopa County, Arizona",254800,41472
1500000US040130405263,040130405263,"Block Group 3, Census Tract 405.26, Maricopa County, Arizona",213800,13191
1500000US040130405271,040130405271,"Block Group 1, Census Tract 405.27, Maricopa County, Arizona",152700,25454
1500000US040130405272,040130405272,"Block Group 2, Census Tract 405.27, Maricopa County, Arizona",131400,27805
1500000US040130405273,040130405273,"Block Group 3, Census Tract 405.27, Maricopa County, Arizona",150100,16148
1500000US040130405281,040130405281,"Block Group 1, Census Tract 405.28, Maricopa County, Arizona",243000,15897
1500000US040130405282,040130405282,"Block Group 2, Census Tract 405.28, Maricopa County, Arizona",229400,13096
1500000US040130405283,040130405283,"Block Group 3, Census Tract 405.28, Maricopa County, Arizona",277300,24302
1500000US040130405284,040130405284,"Block Group 4, Census Tract 405.28, Maricopa County, Arizona",261900,44602
1500000US040130405285,040130405285,"Block Group 5, Census Tract 405.28, Maricopa County, Arizona",255800,27636
1500000US040130405286,040130405286,"Block Group 6, Census Tract 405.28, Maricopa County, Arizona",293900,32808
1500000US040130405291,040130405291,"Block Group 1, Census Tract 405.29, Maricopa County, Arizona",256900,24435
1500000US040130405292,040130405292,"Block Group 2, Census Tract 405.29, Maricopa County, Arizona",277300,39457
1500000US040130405293,040130405293,"Block Group 3, Census Tract 405.29, Maricopa County, Arizona",150900,49072
1500000US040130405294,040130405294,"Block Group 4, Census Tract 405.29, Maricopa County, Arizona",280800,32570
1500000US040130405301,040130405301,"Block Group 1, Census Tract 405.30, Maricopa County, Arizona",140500,43516
1500000US040130405302,040130405302,"Block Group 2, Census Tract 405.30, Maricopa County, Arizona",140100,15877
1500000US040130405311,040130405311,"Block Group 1, Census Tract 405.31, Maricopa County, Arizona",163000,56276
1500000US040130405312,040130405312,"Block Group 2, Census Tract 405.31, Maricopa County, Arizona",214600,31794
1500000US040130405313,040130405313,"Block Group 3, Census Tract 405.31, Maricopa County, Arizona",-,**
1500000US040130405314,040130405314,"Block Group 4, Census Tract 405.31, Maricopa County, Arizona",134900,24066
1500000US040130506031,040130506031,"Block Group 1, Census Tract 506.03, Maricopa County, Arizona",131500,18445
1500000US040130506032,040130506032,"Block Group 2, Census Tract 506.03, Maricopa County, Arizona",106100,10295
1500000US040130506033,040130506033,"Block Group 3, Census Tract 506.03, Maricopa County, Arizona",66900,20167
1500000US040130506041,040130506041,"Block Group 1, Census Tract 506.04, Maricopa County, Arizona",75300,5600
1500000US040130506042,040130506042,"Block Group 2, Census Tract 506.04, Maricopa County, Arizona",172500,99791
1500000US040130506051,040130506051,"Block Group 1, Census Tract 506.05, Maricopa County, Arizona",133900,6134
1500000US040130506052,040130506052,"Block Group 2, Census Tract 506.05, Maricopa County, Arizona",145700,14593
1500000US040130506053,040130506053,"Block Group 3, Census Tract 506.05, Maricopa County, Arizona",188100,38881
1500000US040130506061,040130506061,"Block Group 1, Census Tract 506.06, Maricopa County, Arizona",238000,41473
1500000US040130506062,040130506062,"Block Group 2, Census Tract 506.06, Maricopa County, Arizona",280600,56896
1500000US040130506063,040130506063,"Block Group 3, Census Tract 506.06, Maricopa County, Arizona",180500,58763
1500000US040130506071,040130506071,"Block Group 1, Census Tract 506.07, Maricopa County, Arizona",140600,21695
1500000US040130506072,040130506072,"Block Group 2, Census Tract 506.07, Maricopa County, Arizona",142100,24945
1500000US040130506073,040130506073,"Block Group 3, Census Tract 506.07, Maricopa County, Arizona",95600,16300
1500000US040130506074,040130506074,"Block Group 4, Census Tract 506.07, Maricopa County, Arizona",146000,42398
1500000US040130506075,040130506075,"Block Group 5, Census Tract 506.07, Maricopa County, Arizona",117200,7772
1500000US040130506081,040130506081,"Block Group 1, Census Tract 506.08, Maricopa County, Arizona",109700,9427
1500000US040130506082,040130506082,"Block Group 2, Census Tract 506.08, Maricopa County, Arizona",76300,30119
1500000US040130506083,040130506083,"Block Group 3, Census Tract 506.08, Maricopa County, Arizona",172700,91460
